Bash,linux
C,c
Cpp,cplusplus
CS,csharp
Clojure,clojure
D,
Dart,
FS,
Go,go
Groovy,groovy
Haskell
Java,java
JavaScript,javascript
Julia,
Kotlin,
Lisp,
Lua,
ObjectiveC,
OCaml,
Octave,
Pascal,
Perl,
PHP,php
Python2,python
Python3,python
PyPy2,python
R,
Ruby,ruby
Rust,rust
Scala,scala
Swift,swift
TypeScript,typescript
VisualBasic,
